CAMIS,DBA,BORO,BUILDING,STREET,ZIPCODE,PHONE,CUISINE DESCRIPTION,INSPECTION DATE,ACTION,VIOLATION CODE,VIOLATION DESCRIPTION,CRITICAL FLAG,SCORE,GRADE,GRADE DATE,RECORD DATE,INSPECTION TYPE
41336841,#1 SABOR LATINO RESTAURANT,BRONX,4120,WHITE PLAINS ROAD,10466,7186532222,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",9/6/2016,Violations were cited in the following area(s).,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",Critical,49,,,4/2/2019,Cycle Inspection / Initial Inspection
41004145,GOLDEN KRUST CARIBBEAN BAKERY & GRILL,BRONX,135,GUNHILL ROAD,10467,3476028111,Caribbean,4/3/2018,Violations were cited in the following area(s).,09C,Food contact surface not properly maintained.,Not Critical,26,,,4/2/2019,Cycle Inspection / Initial Inspection
41691159,GRAND CAFE,BRONX,1650,GRAND CONCOURSE,10457,7184661267,American,10/9/2018,Violations were cited in the following area(s).,10B,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,Not Critical,12,A,10/9/2018,4/2/2019,Cycle Inspection / Re-inspection
41563655,LA ESPIGA MEXICAN RESTAURANT,BRONX,558,SOUTHERN BOULEVARD,10455,7184019438,Mexican,2/27/2016,Violations were cited in the following area(s).,10B,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,Not Critical,11,A,2/27/2016,4/2/2019,Cycle Inspection / Re-inspection
41236123,LA SALLE BAKERY,BRONX,3139,EAST TREMONT AVENUE,10461,7188234218,Bakery,9/25/2018,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,16,B,9/25/2018,4/2/2019,Cycle Inspection / Re-inspection
50033133,TEXAS CHICKEN & BURGERS,BRONX,21,W BURNSIDE AVE,10453,3474981100,Chicken,2/21/2018,Violations were cited in the following area(s).,20D,"Choking first aid poster not posted. Alcohol and pregnancy warning sign not posted. Resuscitation equipment: exhaled air resuscitation masks (adult & pediatric), latex gloves, sign not posted. Inspection report sign not posted.",Not Critical,,,,4/2/2019,Administrative Miscellaneous / Initial Inspection
41418537,T.G.I. FRIDAY'S,BRONX,17501780,EAST GUN HILL ROAD,,7186717920,American,5/17/2018,Violations were cited in the following area(s).,16D,"Posted caloric content on the menu(s), menu board(s), food tag(s) or stanchions adjacent to menu boards for drive-through windows deficient, in that the size and/or font for posted calories is not as prominent as the name of the menu item or its price.",Not Critical,,,,4/2/2019,Calorie Posting / Initial Inspection
41679355,CAMAGUEY,BRONX,514,EAST  138 STREET,10454,7184025015,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",2/12/2016,Establishment re-opened by DOHMH,22C,"Bulb not shielded or shatterproof, in areas where there is extreme heat, temperature changes, or where accidental contact may occur.",Not Critical,,,,4/2/2019,Administrative Miscellaneous / Reopening Inspection
41241627,MCDONALD'S,BRONX,1749,UNIVERSITY AVENUE,10453,7182941309,American,9/27/2016,Violations were cited in the following area(s).,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Critical,11,A,9/27/2016,4/2/2019,Cycle Inspection / Initial Inspection
41297979,DUNKIN' DONUTS,BRONX,3059,WEBSTER AVENUE,10467,7189441592,Donuts,10/12/2018,Violations were cited in the following area(s).,10E,Accurate thermometer not provided in refrigerated or hot holding equipment.,Not Critical,11,A,10/12/2018,4/2/2019,Cycle Inspection / Initial Inspection
